"time","country","variable","value"
"2002Q4","DE","GDP",538490
"2003Q1","AT","GDP",55910.4
"2003Q1","CZ","GDP",20781
"2003Q1","DE","GDP",534470
"2003Q2","AT","GDP",56269
"2003Q2","CZ","GDP",21286.7
"2003Q2","DE","GDP",533830
"2003Q3","AT","GDP",56402.1
"2003Q3","CZ","GDP",20944.7
"2003Q3","DE","GDP",539900
"2003Q4","AT","GDP",56679.2
"2003Q4","CZ","GDP",21410.9
"2003Q4","DE","GDP",542510
"2004Q1","AT","GDP",57365.1
"2004Q1","CZ","GDP",21638.6
"2004Q1","DE","GDP",545400
"2004Q2","AT","GDP",58204.3
"2004Q2","CZ","GDP",22501.9
"2004Q2","DE","GDP",547540
"2004Q3","AT","GDP",58919
"2004Q3","CZ","GDP",23235.8
"2004Q3","DE","GDP",547800
"2004Q4","AT","GDP",59468.9
"2004Q4","CZ","GDP",24381.4
"2004Q4","DE","GDP",548140
"2005Q1","AT","GDP",60112.8
"2005Q1","CZ","GDP",25429.2
"2005Q1","DE","GDP",550180
"2005Q2","AT","GDP",60880.9
"2005Q2","CZ","GDP",25622.9
"2005Q2","DE","GDP",552520
"2005Q3","AT","GDP",61671.4
"2005Q3","CZ","GDP",26333.6
"2005Q3","DE","GDP",557990
"2005Q4","AT","GDP",62560.6
"2005Q4","CZ","GDP",27180.4
"2005Q4","DE","GDP",560580
"2006Q1","AT","GDP",63365
"2006Q1","CZ","GDP",28326.4
"2006Q1","DE","GDP",566540
"2006Q2","AT","GDP",64174.3
"2006Q2","CZ","GDP",29151.7
"2006Q2","DE","GDP",575670
"2006Q3","AT","GDP",65321.3
"2006Q3","CZ","GDP",30072.4
"2006Q3","DE","GDP",581800
"2006Q4","AT","GDP",66539.5
"2006Q4","CZ","GDP",30900.9
"2006Q4","DE","GDP",590670
"2007Q1","AT","GDP",67474.9
"2007Q1","CZ","GDP",32103.7
"2007Q1","DE","GDP",600580
"2007Q2","AT","GDP",68123.8
"2007Q2","CZ","GDP",31884.8
"2007Q2","DE","GDP",604870
"2007Q3","AT","GDP",68755.7
"2007Q3","CZ","GDP",33192.5
"2007Q3","DE","GDP",611590
"2007Q4","AT","GDP",69796
"2007Q4","CZ","GDP",34925.2
"2007Q4","DE","GDP",614980
"2008Q1","AT","GDP",70784
"2008Q1","CZ","GDP",37216.1
"2008Q1","DE","GDP",622130
"2008Q2","AT","GDP",71022.9
"2008Q2","CZ","GDP",38784.5
"2008Q2","DE","GDP",620930
"2008Q3","AT","GDP",70431
"2008Q3","CZ","GDP",40523.2
"2008Q3","DE","GDP",618910
"2008Q4","AT","GDP",69376.7
"2008Q4","CZ","GDP",37659.4
"2008Q4","DE","GDP",608690
"2009Q1","AT","GDP",68554.2
"2009Q1","CZ","GDP",34526.1
"2009Q1","DE","GDP",584620
"2009Q2","AT","GDP",68367.5
"2009Q2","CZ","GDP",35012.3
"2009Q2","DE","GDP",587900
"2009Q3","AT","GDP",68932.3
"2009Q3","CZ","GDP",36425.4
"2009Q3","DE","GDP",596040
"2009Q4","AT","GDP",69538.9
"2009Q4","CZ","GDP",36354
"2009Q4","DE","GDP",603990
"2010Q1","AT","GDP",69797.2
"2010Q1","CZ","GDP",36230.2
"2010Q1","DE","GDP",608050
"2010Q2","AT","GDP",70575.4
"2010Q2","CZ","GDP",37096
"2010Q2","DE","GDP",620610
"2010Q3","AT","GDP",71854
"2010Q3","CZ","GDP",38219.9
"2010Q3","DE","GDP",627100
"2010Q4","AT","GDP",73063.9
"2010Q4","CZ","GDP",38263.7
"2010Q4","DE","GDP",633930
"2011Q1","AT","GDP",74156.6
"2011Q1","CZ","GDP",38823.2
"2011Q1","DE","GDP",646700
"2011Q2","AT","GDP",74888.5
"2011Q2","CZ","GDP",39158.9
"2011Q2","DE","GDP",649610
"2011Q3","AT","GDP",75056.4
"2011Q3","CZ","GDP",39306.3
"2011Q3","DE","GDP",653910
"2011Q4","AT","GDP",75288.8
"2011Q4","CZ","GDP",38112.5
"2011Q4","DE","GDP",655800
"2012Q1","AT","GDP",75931.3
"2012Q1","CZ","GDP",38439.9
"2012Q1","DE","GDP",663160
"2012Q2","AT","GDP",76498.3
"2012Q2","CZ","GDP",38090.7
"2012Q2","DE","GDP",665490
"2012Q3","AT","GDP",76906.1
"2012Q3","CZ","GDP",38300.2
"2012Q3","DE","GDP",669680
"2012Q4","AT","GDP",77296.8
"2012Q4","CZ","GDP",38104.5
"2012Q4","DE","GDP",669680
"2013Q1","AT","GDP",77633.8
"2013Q1","CZ","GDP",37545.8
"2013Q1","DE","GDP",674440
"2013Q2","AT","GDP",77953.6
"2013Q2","CZ","GDP",37320.8
"2013Q2","DE","GDP",684960
"2013Q3","AT","GDP",78498.7
"2013Q3","CZ","GDP",37422.9
"2013Q3","DE","GDP",688850
"2013Q4","AT","GDP",79064.2
"2013Q4","CZ","GDP",37224.7
"2013Q4","DE","GDP",693880
"2014Q1","AT","GDP",79397.3
"2014Q1","CZ","GDP",36790
"2014Q1","DE","GDP",701760
"1995Q1","AT","UNEM",5.80982122318679
"1995Q1","CZ","UNEM",6.10064997130583
"1995Q1","DE","UNEM",6.50528223679218
"1995Q2","AT","UNEM",6.50052753679205
"1995Q2","CZ","UNEM",5.84887292542731
"1995Q2","DE","UNEM",6.2854649600922
"1995Q3","AT","UNEM",6.95100251923999
"1995Q3","CZ","UNEM",6.25122956502042
"1995Q3","DE","UNEM",7.34150123497143
"1995Q4","AT","UNEM",5.22934977390021
"1995Q4","CZ","UNEM",6.21790146526183
"1995Q4","DE","UNEM",5.75722304566404
"1996Q1","AT","UNEM",7.25598628075842
"1996Q1","CZ","UNEM",6.29338920867413
"1996Q1","DE","UNEM",5.90554142057983
"1996Q2","AT","UNEM",7.3002869063571
"1996Q2","CZ","UNEM",5.94955288102884
"1996Q2","DE","UNEM",7.04910709651613
"1996Q3","AT","UNEM",5.92267956512611
"1996Q3","CZ","UNEM",6.01185786975174
"1996Q3","DE","UNEM",7.47066779788727
"1996Q4","AT","UNEM",6.46503585405017
"1996Q4","CZ","UNEM",5.4073858673526
"1996Q4","DE","UNEM",5.89372111185821
"1997Q1","AT","UNEM",6.94395427095809
"1997Q1","CZ","UNEM",5.95773403834763
"1997Q1","DE","UNEM",6.5813165645198
"1997Q2","AT","UNEM",7.0271364935851
"1997Q2","CZ","UNEM",5.69443456587875
"1997Q2","DE","UNEM",6.30332781231157
"1997Q3","AT","UNEM",6.22765386277759
"1997Q3","CZ","UNEM",5.77009679662177
"1997Q3","DE","UNEM",5.48398982387371
"1997Q4","AT","UNEM",6.63201720109948
"1997Q4","CZ","UNEM",5.22842269234261
"1997Q4","DE","UNEM",5.39868973391268
"1998Q1","AT","UNEM",6.10987355550839
"1998Q1","CZ","UNEM",5.13864616555821
"1998Q1","DE","UNEM",5.100551980272
"1998Q2","AT","UNEM",5.88621396755587
"1998Q2","CZ","UNEM",6.48784334202808
"1998Q2","DE","UNEM",5.23117792484794
"1998Q3","AT","UNEM",7.79298342905202
"1998Q3","CZ","UNEM",5.56929057826503
"1998Q3","DE","UNEM",5.20360389071326
"1998Q4","AT","UNEM",6.08494731551987
"1998Q4","CZ","UNEM",5.77984036732487
"1998Q4","DE","UNEM",6.49549020968105
"1999Q1","AT","UNEM",7.13736259435157
"1999Q1","CZ","UNEM",4.97655599388344
"1999Q1","DE","UNEM",6.28114708163421
"1999Q2","AT","UNEM",5.37844757941065
"1999Q2","CZ","UNEM",5.4259497568204
"1999Q2","DE","UNEM",5.65631585523374
"1999Q3","AT","UNEM",6.15606777617952
"1999Q3","CZ","UNEM",5.63457582986021
"1999Q3","DE","UNEM",5.69163692891119
"1999Q4","AT","UNEM",6.38825816359009
"1999Q4","CZ","UNEM",4.92814590309422
"1999Q4","DE","UNEM",5.76197906568385
"2000Q1","AT","UNEM",5.33509953385014
"2000Q1","CZ","UNEM",6.63722703055299
"2000Q1","DE","UNEM",6.45594486872294
"2000Q2","AT","UNEM",6.90958983275353
"2000Q2","CZ","UNEM",5.979979420287
"2000Q2","DE","UNEM",5.27144370526729
"2000Q3","AT","UNEM",6.26144150433647
"2000Q3","CZ","UNEM",5.20508941221002
"2000Q3","DE","UNEM",5.63172128174865
"2000Q4","AT","UNEM",5.88671511571194
"2000Q4","CZ","UNEM",6.67507506397368
"2000Q4","DE","UNEM",5.84418605374338
"2001Q1","AT","UNEM",6.09810180200272
"2001Q1","CZ","UNEM",6.37142472856955
"2001Q1","DE","UNEM",5.52021720833408
"2001Q2","AT","UNEM",5.54930667647887
"2001Q2","CZ","UNEM",6.93070812950466
"2001Q2","DE","UNEM",5.67402928282416
"2001Q3","AT","UNEM",6.06104023381464
"2001Q3","CZ","UNEM",5.33091814592184
"2001Q3","DE","UNEM",5.70534100945445
"2001Q4","AT","UNEM",6.06556578266366
"2001Q4","CZ","UNEM",6.71136630653009
"2001Q4","DE","UNEM",5.98730511858848
"2002Q1","AT","UNEM",5.52353514369807
"2002Q1","CZ","UNEM",6.24207422711231
"2002Q1","DE","UNEM",7.17822590406226
"2002Q2","AT","UNEM",6.13102077799814
"2002Q2","CZ","UNEM",6.16655036928546
"2002Q2","DE","UNEM",6.27129649613138
"2002Q3","AT","UNEM",6.5844914857255
"2002Q3","CZ","UNEM",6.78743815623218
"2002Q3","DE","UNEM",4.92833622089582
"2002Q4","AT","UNEM",6.87612008474181
"2002Q4","CZ","UNEM",6.81881733622625
"2002Q4","DE","UNEM",5.51714377519805
"2003Q1","AT","UNEM",6.0590084295552
"2003Q1","CZ","UNEM",6.01575884179571
"2003Q1","DE","UNEM",5.4654939881125
"2003Q2","AT","UNEM",7.23860346802666
"2003Q2","CZ","UNEM",5.78303343694062
"2003Q2","DE","UNEM",6.64417832999526
"2003Q3","AT","UNEM",6.82136913370372
"2003Q3","CZ","UNEM",6.21574793912145
"2003Q3","DE","UNEM",6.54697668948502
"2003Q4","AT","UNEM",6.32780262500558
"2003Q4","CZ","UNEM",6.70472194568391
"2003Q4","DE","UNEM",6.31775470966407
"2004Q1","AT","UNEM",6.11358039649918
"2004Q1","CZ","UNEM",6.95111494042041
"2004Q1","DE","UNEM",6.22778330858506
"2004Q2","AT","UNEM",5.68346727060351
"2004Q2","CZ","UNEM",6.11864630024575
"2004Q2","DE","UNEM",6.48449417963069
"2004Q3","AT","UNEM",5.48519362034767
"2004Q3","CZ","UNEM",4.96638922004323
"2004Q3","DE","UNEM",6.12413835646547
"2004Q4","AT","UNEM",6.45784456711776
"2004Q4","CZ","UNEM",5.40876121139916
"2004Q4","DE","UNEM",6.82303158717909
"2005Q1","AT","UNEM",5.32532597178823
"2005Q1","CZ","UNEM",6.10565326186454
"2005Q1","DE","UNEM",6.29180365604727
"2005Q2","AT","UNEM",5.0652729731204
"2005Q2","CZ","UNEM",5.4266755453259
"2005Q2","DE","UNEM",5.84701463432221
"2005Q3","AT","UNEM",6.91132835252078
"2005Q3","CZ","UNEM",6.13672520546187
"2005Q3","DE","UNEM",5.72600539651881
"2005Q4","AT","UNEM",5.47004299950506
"2005Q4","CZ","UNEM",6.10822907703562
"2005Q4","DE","UNEM",5.97713599312287
"2006Q1","AT","UNEM",5.98410102211638
"2006Q1","CZ","UNEM",6.71356043989473
"2006Q1","DE","UNEM",6.71639065985185
"2006Q2","AT","UNEM",6.44769023101908
"2006Q2","CZ","UNEM",6.73010959807067
"2006Q2","DE","UNEM",6.09319858353795
"2006Q3","AT","UNEM",5.0938481627594
"2006Q3","CZ","UNEM",5.66232826355157
"2006Q3","DE","UNEM",7.5631396138873
"2006Q4","AT","UNEM",6.60086781102636
"2006Q4","CZ","UNEM",5.58080657301146
"2006Q4","DE","UNEM",4.99932287039182
"2007Q1","AT","UNEM",7.0946917307134
"2007Q1","CZ","UNEM",5.7481869523216
"2007Q1","DE","UNEM",5.69357207909415
"2007Q2","AT","UNEM",6.11451408514522
"2007Q2","CZ","UNEM",5.89039492864442
"2007Q2","DE","UNEM",5.97847944365805
"2007Q3","AT","UNEM",5.90868479696979
"2007Q3","CZ","UNEM",6.08196692886237
"2007Q3","DE","UNEM",7.55126012995505
"2007Q4","AT","UNEM",6.10070036935814
"2007Q4","CZ","UNEM",7.27412562167755
"2007Q4","DE","UNEM",5.54767481491146
"2008Q1","AT","UNEM",6.0111319056321
"2008Q1","CZ","UNEM",6.50808899000679
"2008Q1","DE","UNEM",6.54529732457985
"2008Q2","AT","UNEM",5.67079073886937
"2008Q2","CZ","UNEM",6.84107827528865
"2008Q2","DE","UNEM",5.42010321876477
"2008Q3","AT","UNEM",6.07478544609454
"2008Q3","CZ","UNEM",6.89193699385525
"2008Q3","DE","UNEM",6.32144925497575
"2008Q4","AT","UNEM",5.72116668024774
"2008Q4","CZ","UNEM",6.19163456367583
"2008Q4","DE","UNEM",5.69199725866652
"2009Q1","AT","UNEM",6.69039943862819
"2009Q1","CZ","UNEM",5.58304858174463
"2009Q1","DE","UNEM",5.94186294140688
"2009Q2","AT","UNEM",6.27201080179976
"2009Q2","CZ","UNEM",6.73753379690515
"2009Q2","DE","UNEM",5.33723462797446
"2009Q3","AT","UNEM",6.01198594320925
"2009Q3","CZ","UNEM",6.34048081704596
"2009Q3","DE","UNEM",5.8055048584042
"2009Q4","AT","UNEM",5.24457893731378
"2009Q4","CZ","UNEM",5.73051665670296
"2009Q4","DE","UNEM",6.88636515168164
"2010Q1","AT","UNEM",5.84578056178748
"2010Q1","CZ","UNEM",6.01047145317079
"2010Q1","DE","UNEM",6.51823055575666
"2010Q2","AT","UNEM",6.00544071257907
"2010Q2","CZ","UNEM",5.95305067348839
"2010Q2","DE","UNEM",6.4467127815326
"2010Q3","AT","UNEM",6.01370370331442
"2010Q3","CZ","UNEM",5.08430688370869
"2010Q3","DE","UNEM",5.21002757661409
"2010Q4","AT","UNEM",5.85523028583675
"2010Q4","CZ","UNEM",6.87202826670749
"2010Q4","DE","UNEM",5.41951094061102
"2011Q1","AT","UNEM",5.98111318815295
"2011Q1","CZ","UNEM",6.0563128693414
"2011Q1","DE","UNEM",5.71944022704572
"2011Q2","AT","UNEM",6.26983237702469
"2011Q2","CZ","UNEM",6.14049866164859
"2011Q2","DE","UNEM",5.49283929689839
"2011Q3","AT","UNEM",7.10758830371285
"2011Q3","CZ","UNEM",5.01685045687936
"2011Q3","DE","UNEM",5.76485833978384
"2011Q4","AT","UNEM",6.07456015168154
"2011Q4","CZ","UNEM",6.54495093291159
"2011Q4","DE","UNEM",6.00809686627908
"2012Q1","AT","UNEM",6.30907100125778
"2012Q1","CZ","UNEM",5.80546713286495
"2012Q1","DE","UNEM",6.1214186489591
"2012Q2","AT","UNEM",6.22445400847903
"2012Q2","CZ","UNEM",6.16090055267112
"2012Q2","DE","UNEM",6.41693489367673
"2012Q3","AT","UNEM",6.14606386549584
"2012Q3","CZ","UNEM",5.99945380531467
"2012Q3","DE","UNEM",6.31878050995073
"2012Q4","AT","UNEM",6.31855382055847
"2012Q4","CZ","UNEM",6.41828876412917
"2012Q4","DE","UNEM",5.93244206044312
"2013Q1","AT","UNEM",6.64685491985732
"2013Q1","CZ","UNEM",6.63931605505677
"2013Q1","DE","UNEM",5.64517222313522
"2013Q2","AT","UNEM",6.23393184375281
"2013Q2","CZ","UNEM",5.03144297914968
"2013Q2","DE","UNEM",4.99417006947874
"2013Q3","AT","UNEM",7.07845109527522
"2013Q3","CZ","UNEM",7.08968103879525
"2013Q3","DE","UNEM",6.5068431779784
"2013Q4","AT","UNEM",5.40811699396697
"2013Q4","CZ","UNEM",6.5395347446215
"2013Q4","DE","UNEM",5.78439552341888
"2014Q1","AT","UNEM",4.29952805722096
"2014Q1","CZ","UNEM",5.94152839406984
"2014Q1","DE","UNEM",5.98074592142751
